"filename", "language", "HTML", "YAML", "Markdown", "Swift", "JSON", "Dart", "C++", "XML", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Boxs\Tmp\pcl\snns_cm\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Boxs\Tmp\pcl\snns_cm\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 3, 11, 60
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 11, 1, 42
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\main\kotlin\com\example\snns_cm\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Boxs\Tmp\pcl\snns_cm\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Boxs\Tmp\pcl\snns_cm\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Boxs\Tmp\pcl\snns_cm\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Boxs\Tmp\pcl\snns_cm\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Boxs\Tmp\pcl\snns_cm\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Boxs\Tmp\pcl\snns_cm\doc\Flutter SDK Install.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Boxs\Tmp\pcl\snns_cm\images\cpumem.html", "HTML", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 122
"c:\Boxs\Tmp\pcl\snns_cm\images\cpumems.html", "HTML", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 113
"c:\Boxs\Tmp\pcl\snns_cm\images\heatmap.html", "HTML", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 126
"c:\Boxs\Tmp\pcl\snns_cm\images\scatter.html", "HTML", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 85
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Boxs\Tmp\pcl\snns_cm\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\pcl\snns_cm\lib\comm\comm.dart", "Dart", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 5, 80
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\app\app_component.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 7, 57
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\home\home_component.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 5, 57
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\home\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 86, 20, 309
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\MonitorCluster.dart", "Dart", 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 47, 35, 394
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\MonitorPC.dart", "Dart", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 9, 7, 74
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\NodeList.dart", "Dart", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 17, 17, 201
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskDetails.dart", "Dart", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 25, 9, 188
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskList.dart", "Dart", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 12, 12, 190
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskReplayHT.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 6, 10, 124
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TaskReplaySC.dart", "Dart", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 6, 10, 124
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TimeListApply.dart", "Dart", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 19, 19, 234
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\TimeListSeting.dart", "Dart", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 22, 23, 283
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\pages\UserList.dart", "Dart", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 20, 15, 200
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\bottombar.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\gc_drawer.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\menu.dart", "Dart", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 10, 10, 181
"c:\Boxs\Tmp\pcl\snns_cm\lib\components\toolsbar\topbar.dart", "Dart", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 4, 9, 195
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\application.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\route_handlers.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 17, 83
"c:\Boxs\Tmp\pcl\snns_cm\lib\config\routes.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 4, 47
